96 88 88 272 112 32 192 128 144 120 40 200 20 168
0  0  0  0  0  0  0  0  0  0  0  0  0  20
0  0  0  0  0  0  0  0  0  0  0  0  12  0
0  0  0  0  0  0  0  0  0  20  0  0  0  0
0  0  0  0  80  0  0  0  0  0  0  0  0  0
0  0  0  0  0  40  0  0  0  0  0  0  0  0
0  0  0  0  0  0  20  20  20  0  0  0  0  0
0  0  0  0  0  0  0  0  20  0  0  0  0  0
0  0  0  0  0  0  0  0  20  0  0  0  0  0
0  0  0  0  0  0  0  0  0  20  20  0  0  0
0  0  0  0  0  0  0  0  0  0  20  0  0  0
0  0  0  0  0  0  0  0  0  0  0  20  0  0
0  0  0  0  0  0  0  0  0  0  0  0  20  0
0  0  0  0  0  0  0  0  0  0  0  0  0  20
0  0  0  0  0  0  0  0  0  0  0  0  0  0
