3 2 16
43 19 19 1471 567  567  2557  103 103 852  852  5797 5797 10667  10667 0
0  128  128  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  128  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  128  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  128  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  128  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  128  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  128  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  128  128  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  128  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  128  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  128  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  128  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  128  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  128
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
