2 2 14
9843 6082 13221 1937 10288 22144 981 17759 5699 5687 10329 10329 10329 10329

0  88  64  560  4  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  128  0  0  0  0  0  0  0  0  0  0  0  0
0  0  512  0  0  0  0  0  0  0  0  0  0  0
0  64  296  0  0  521  61  515  4  4  164  164  164  164
0  176  0  0  0  0  0  0  0  0  0  0  0  0
0  0  4  0  0  4  0  76  0  0  0  0  0  0
0  0  0  0  0  260  0  0  560  560  147  147  147  147
0  0  0  0  0  0  0  0  0  0  768  768  0  0
0  0  0  0  0  0  0  0  0  0  0  0  768  768
0  0  0  0  0  266  0  0  0  0  0  0  0  0
0  0  0  0  0  64  0  0  0  0  0  0  0  0
0  0  0  0  0  266  0  0  0  0  0  0  0  0
0  0  0  0  0  64  0  0  0  0  0  0  0  0
